id,need_type,location,urgency,skill_required,status,assigned_to
1,Medical Assistance,Patna,10,Medical,Closed,Rahul
2,Food Kit Delivery,Patna,8,Food,Completed,Priya
3,Transport Support,Gaya,7,Logistics,Assigned,Aman
4,Teaching Support,Patna,6,Teaching,Raised,
5,Medical Emergency,Gaya,9,Medical,Assigned,Rohan
6,Shelter Assistance,Dumka,8,Shelter,Assigned,Neha
7,Water Supply Support,Deoghar,7,Food & Water,Assigned,Vikash
8,Emergency Evacuation,Kedarnath,10,Rescue,Closed,Ankit
9,Logistics Coordination,Patna,6,Logistics,Completed,Ankit
10,Food & Water Support,Godda,6,Food & Water,Raised,
11,First Aid Support,Dhanbad,8,Medical,Closed,Rohan
12,Relief Material Delivery,Bokaro,7,Logistics,Under Review,
13,Other,Khudisar,8,Other,Completed,Rahul
14,Rescue,Deoghar,10,Rescue,Assigned,Rahul
15,Rescue,help,6,Rescue,Assigned,Priya
16,Rescue,jamshedpur,10,Rescue,Raised,
17,Power / Utility,bangolre,4,Power / Utility,Raised,
